2 qid:11 1:0.0 2:0.866025403784439 3:0.983050847457627 4:0.1767 5:0.75 6:2.63157894736842 7:1.0 
1 qid:12 1:0.730028624817766 2:0.803373779308484 3:0.776119402985075 4:0.15425 5:0.596774193548387 6:2.53101736972705 7:0.687848383500557 
2 qid:12 1:0.0 2:0.832050294337844 3:0.978723404255319 4:0.151875 5:0.692307692307692 6:3.07692307692308 7:1.0 
1 qid:13 1:0.0 2:0.847531627229881 3:0.981132075471698 4:0.164475 5:0.71830985915493 6:2.8169014084507 7:1.0 
2 qid:13 1:0.0 2:0.924804388989767 3:0.985074626865672 4:0.2015 5:0.855263157894737 6:2.63157894736842 7:1.0 
1 qid:14 1:0.0 2:0.769483764063866 3:0.978723404255319 4:0.1395 5:0.592105263157895 6:2.63157894736842 7:1.0 
2 qid:14 1:0.0 2:0.769483764063866 3:0.978723404255319 4:0.1395 5:0.592105263157895 6:2.63157894736842 7:1.0 
1 qid:15 1:0.0 2:0.910465468000326 3:0.984615384615385 4:0.1953 5:0.828947368421053 6:2.63157894736842 7:1.0 
2 qid:15 1:0.0 2:0.911584288748417 3:0.983606557377049 4:0.190275 5:0.830985915492958 6:2.8169014084507 7:1.0 
1 qid:16 1:0.0 2:0.819178021909125 3:0.981132075471698 4:0.1581 5:0.671052631578947 6:2.63157894736842 7:1.0 
2 qid:16 1:0.0 2:0.866025403784439 3:0.983050847457627 4:0.1767 5:0.75 6:2.63157894736842 7:1.0 
1 qid:17 1:0.0 2:0.769483764063866 3:0.978723404255319 4:0.1395 5:0.592105263157895 6:2.63157894736842 7:1.0 
2 qid:17 1:0.0 2:0.832050294337844 3:0.978723404255319 4:0.151875 5:0.692307692307692 6:3.07692307692308 7:1.0 
1 qid:18 1:0.0 2:0.769483764063866 3:0.978723404255319 4:0.1395 5:0.592105263157895 6:2.63157894736842 7:1.0 
2 qid:18 1:0.0 2:0.832050294337844 3:0.978723404255319 4:0.151875 5:0.692307692307692 6:3.07692307692308 7:1.0 
1 qid:19 1:0.735154431561577 2:0.75526322246702 3:0.63013698630137 4:0.13625 5:0.38 6:2.53521126760563 7:0.511737089201878 
2 qid:19 1:0.0 2:0.769483764063866 3:0.978723404255319 4:0.1395 5:0.592105263157895 6:2.63157894736842 7:1.0 
1 qid:20 1:0.0 2:0.769483764063866 3:0.978723404255319 4:0.1395 5:0.592105263157895 6:2.63157894736842 7:1.0 
2 qid:20 1:0.0 2:0.881087844357011 3:0.983606557377049 4:0.1829 5:0.776315789473684 6:2.63157894736842 7:1.0 
1 qid:21 1:0.0 2:0.819178021909125 3:0.981132075471698 4:0.1581 5:0.671052631578947 6:2.63157894736842 7:1.0 
2 qid:21 1:0.0 2:0.903210647459501 3:0.807692307692308 4:0.1922 5:0.774193548387097 6:2.63157894736842 7:0.73302822273074 
1 qid:22 1:0.0 2:0.881087844357011 3:0.983606557377049 4:0.1829 5:0.776315789473684 6:2.63157894736842 7:1.0 
2 qid:22 1:0.871301314240382 2:0.907692307692308 3:0.895522388059702 4:0.189375 5:0.815384615384615 6:2.79289940828402 7:0.863247863247863 
1 qid:23 1:0.0 2:0.752189785681919 3:0.977777777777778 4:0.1333 5:0.565789473684211 6:2.63157894736842 7:1.0 
2 qid:23 1:0.0 2:0.769483764063866 3:0.978723404255319 4:0.1395 5:0.592105263157895 6:2.63157894736842 7:1.0 
1 qid:24 1:0.63484838171966 2:0.723327843521426 3:0.745762711864407 4:0.12665 5:0.467741935483871 6:2.43350311262026 7:0.644037630307653 
2 qid:24 1:0.0 2:0.847531627229881 3:0.981132075471698 4:0.164475 5:0.71830985915493 6:2.8169014084507 7:1.0 
1 qid:25 1:0.768746807986463 2:0.789352217376326 3:0.686567164179104 4:0.14375 5:0.5 6:2.76923076923077 7:0.58974358974359 
2 qid:25 1:0.0 2:0.832050294337844 3:0.978723404255319 4:0.151875 5:0.692307692307692 6:3.07692307692308 7:1.0 
1 qid:26 1:0.0 2:0.778224776537538 3:0.977777777777778 4:0.138675 5:0.605633802816901 6:2.8169014084507 7:1.0 
2 qid:26 1:0.0 2:0.881087844357011 3:0.983606557377049 4:0.1829 5:0.776315789473684 6:2.63157894736842 7:1.0 
1 qid:27 1:0.728954094071226 2:0.753467723440627 3:0.646153846153846 4:0.130975 5:0.404255319148936 6:2.7693346842283 7:0.543521112148563 
2 qid:27 1:0.0 2:0.752189785681919 3:0.977777777777778 4:0.1333 5:0.565789473684211 6:2.63157894736842 7:1.0 
1 qid:28 1:0.0 2:0.851942751370597 3:0.978723404255319 4:0.15525 5:0.725806451612903 6:3.2258064516129 7:1.0 
2 qid:28 1:0.0 2:0.866025403784439 3:0.983050847457627 4:0.1767 5:0.75 6:2.63157894736842 7:1.0 
1 qid:29 1:0.821004976103651 2:0.842927230423525 3:0.779661016949153 4:0.15375 5:0.66 6:3.15789473684211 7:0.719298245614035 
